Players,Country,Category,Matches,Wins▼,Losses,Win PCT
KOK Jing Hong,Malaysia,MS,30,22,8,73.3%
Viktor AXELSEN,Denmark,MS,21,19,2,90.5%
Jonatan CHRISTIE,Indonesia,MS,25,19,6,76.0%
Gabriela STOEVA / Stefani STOEVA,Bulgaria,WD,20,18,2,90.0%
LEE Zii Jia,Malaysia,MS,20,18,2,90.0%
Lakshya SEN,India,MS,26,18,8,69.2%
KIDAMBI Srikanth,India,MS,23,17,6,73.9%
Meiraba LUWANG,India,MS,21,16,5,76.2%
TAN Kian Meng / LAI Pei Jing,Malaysia,XD,21,16,5,76.2%
Grégoire DESCHAMP,France,MS,19,15,4,79.0%
CHAN Yin Chak,Hong Kong,MS,21,15,6,71.4%
PRANNOY H. S.,India,MS,21,15,6,71.4%
YEUNG Nga Ting / YEUNG Pui Lam,Hong Kong,WD,17,14,3,82.3%
CHEN Qingchen / JIA Yifan,China,WD,17,14,3,82.3%
Benyapa AIMSAARD / Nuntakarn AIMSAARD,Thailand,WD,18,14,4,77.8%
